Month,CITY,STORE,STATUS,Zone,ORDER COUNT,CART SALES,DISCOUNT,NET REVENUE,IDEAL FOOD COST,GROSS MARGIN,EBITDA,VARIANCE,Revenue Cohort,CM Cohort,EBITDA Category,EBITDA Cohort,CM,GM%,CM%,Variance %,Revenue Band,Variance Bucket
Oct-2023,Ahmedabad,Ramos-Martin,Inactive,West,14270,6554333.68,1163493.98,5434068.17,1763679.62,3614747.39,2374914.55,29664.62,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,2451253.41,66.52009648969862,45.10899262421289,0.5459007703247124,Above INR 45 lacs,Var < 2%
Nov-2023,Ahmedabad,Ramos-Martin,Inactive,West,8528,2637625.82,636015.27,2146679.55,638415.3,1414249.0,151761.82,11769.85,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,778233.73,65.88076920935872,36.25290649459068,0.5482816473469457,INR 15 to 25 lacs,Var < 2%
Dec-2023,Ahmedabad,Ramos-Martin,Inactive,West,10798,4364193.67,1283840.18,3188606.71,1085080.58,2036999.44,736811.76,23376.83,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,753159.26,63.88368416875093,23.620324753064324,0.7331361979100898,INR 25 to 35 lacs,Var < 2%
Jan-2024,Ahmedabad,Ramos-Martin,Inactive,West,7804,3479969.32,854797.46,2734306.33,1180892.5,1451140.55,229924.26,26162.41,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,596343.0900000001,53.0716157907589,21.80966643923909,0.9568207377847089,INR 25 to 35 lacs,Var < 2%
Feb-2024,Ahmedabad,Ramos-Martin,Inactive,West,10060,4771378.71,1290900.38,3602124.88,1114846.94,2394567.16,1114151.65,19944.97,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,1103666.7800000003,66.47651704956992,30.639325863683002,0.5537001260211724,INR 35 to 45 lacs,Var < 2%
Mar-2024,Ahmedabad,Ramos-Martin,Inactive,West,14280,4706936.27,1410485.57,3340397.87,1428327.36,1817292.19,476456.13,14404.82,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%,406806.6199999999,54.40346511776455,12.178388199008157,0.4312306665433241,INR 25 to 35 lacs,Var < 2%
Oct-2023,Pune,Burke-Johnson,Inactive,North,8369,3367841.36,619596.48,2837141.55,1006918.91,1687753.28,284603.87,25597.51,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,1068156.8,59.487806662307705,37.649048564390455,0.90222886482347,INR 25 to 35 lacs,Var < 2%
Nov-2023,Pune,Burke-Johnson,Inactive,North,10991,5167810.92,1500449.35,3770663.65,1300145.07,2371957.2,1050903.83,19734.84,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,0% to 10%,871507.8500000001,62.905563056519256,23.11285043947105,0.5233784243789552,INR 35 to 45 lacs,Var < 2%
Dec-2023,Pune,Burke-Johnson,Inactive,North,12895,5496206.52,1479698.04,4080783.22,1218795.04,2794277.11,1214628.03,28723.1,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,1314579.0699999998,68.47403940266152,32.21389128335026,0.7038624315848858,INR 35 to 45 lacs,Var < 2%
Jan-2024,Pune,Burke-Johnson,Inactive,North,7569,3678559.48,590638.41,3142931.96,1442605.0,1579435.86,347215.03,23440.52,More than 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,988797.4500000001,50.25358105429684,31.460988102332323,0.745816972760683,INR 25 to 35 lacs,Var < 2%
Feb-2024,Pune,Burke-Johnson,Inactive,North,11146,4381711.1,1013913.47,3425425.48,1089716.58,2208709.54,933086.35,29252.97,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%,1194796.07,64.47985959396787,34.88022369705734,0.8539952239743367,INR 25 to 35 lacs,Var < 2%
Mar-2024,Pune,Burke-Johnson,Inactive,North,9838,3794151.56,960963.68,2874080.55,1371007.42,1401403.5,117905.37,16926.09,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%,440439.81999999995,48.76006345751166,15.32454683637868,0.5889219075644906,INR 25 to 35 lacs,Var < 2%
Oct-2023,Ahmedabad,"Montoya, Wood and Miller",Active,West,14421,5577614.93,1170048.13,4483468.22,2065873.71,2351301.07,1050945.26,12015.56,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,1181252.94,52.44379918901265,26.346856541340667,0.26799699273880434,INR 35 to 45 lacs,Var < 2%
Nov-2023,Ahmedabad,"Montoya, Wood and Miller",Active,West,10969,3376177.32,819526.81,2644431.32,1013370.81,1546226.85,159944.35,24798.18,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%,726700.04,58.47105342860635,27.480389999313733,0.9377509566026467,INR 25 to 35 lacs,Var < 2%
Dec-2023,Ahmedabad,"Montoya, Wood and Miller",Active,West,9914,3178674.01,907139.32,2365666.17,1081522.81,1202212.0,-261736.42,27754.08,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,10% to 20%,295072.68000000005,50.819173696008,12.473132673660379,1.1732035716603244,INR 15 to 25 lacs,Var < 2%
Jan-2024,Ahmedabad,"Montoya, Wood and Miller",Active,West,11330,4998414.14,1476020.66,3620911.06,1327698.47,2228552.11,801787.76,15073.64,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%,752531.45,61.54672327135259,20.78293107812485,0.4162941246063083,INR 35 to 45 lacs,Var < 2%
Feb-2024,Ahmedabad,"Montoya, Wood and Miller",Active,West,11849,4665331.99,739200.82,4062250.34,1470036.08,2455354.35,1105067.24,21686.29,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%,1716153.5300000003,60.44320621559724,42.24637544125358,0.5338491768087341,INR 35 to 45 lacs,Var < 2%
Mar-2024,Ahmedabad,"Montoya, Wood and Miller",Active,West,9703,4341317.63,1247209.12,3132695.53,1320585.78,1739170.28,537696.83,27533.23,More than 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,491961.1599999999,55.51673513576342,15.704084718376699,0.8788990100164633,INR 25 to 35 lacs,Var < 2%
Oct-2023,Bangalore,"Price, Blevins and Kim",Inactive,North,14418,4455792.56,685991.75,3830318.81,1853963.93,1842522.01,401871.45,22123.49,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%,1156530.26,48.10362012659724,30.194099169515344,0.5775887360143789,INR 35 to 45 lacs,Var < 2%
Nov-2023,Bangalore,"Price, Blevins and Kim",Inactive,North,12565,5976468.54,1575097.51,4503951.14,1587267.59,2769886.17,1315242.73,20948.93,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,1194788.66,61.499027940165455,26.52756708191111,0.4651233849752643,Above INR 45 lacs,Var < 2%
Dec-2023,Bangalore,"Price, Blevins and Kim",Inactive,North,14648,6690189.87,1401470.46,5361176.63,1852339.91,3360833.46,2137141.69,13845.78,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,1959363.0,62.68835541051742,36.54725697780265,0.2582600976532273,Above INR 45 lacs,Var < 2%
Jan-2024,Bangalore,"Price, Blevins and Kim",Inactive,North,14570,6765697.92,1365063.41,5505983.64,1756495.56,3667329.8,2350484.37,24410.32,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,2302266.3899999997,66.60626038474753,41.813898124840776,0.443341673278201,Above INR 45 lacs,Var < 2%
Feb-2024,Bangalore,"Price, Blevins and Kim",Inactive,North,13809,4244011.67,797303.55,3511048.4,1390623.26,2043500.82,759968.87,12551.61,More than 40 lacs,10% to 20%,EBITDA -ve,More than 20%,1246197.27,58.202012253661906,35.49359416406792,0.35748894831526673,INR 35 to 45 lacs,Var < 2%
