Revenue Band,Month,Variance %
INR 15 to 25 lacs,Dec-2023,0.9822347369189774
INR 15 to 25 lacs,Feb-2024,0.9249779829173279
INR 15 to 25 lacs,Jan-2024,0.952754443413092
INR 15 to 25 lacs,Mar-2024,0.8380909650930989
INR 15 to 25 lacs,Nov-2023,0.8927493282785746
INR 15 to 25 lacs,Oct-2023,0.8695976054487504
INR 25 to 35 lacs,Dec-2023,0.6602102280097958
INR 25 to 35 lacs,Feb-2024,0.6856534484347427
INR 25 to 35 lacs,Jan-2024,0.7083191381863614
INR 25 to 35 lacs,Mar-2024,0.702676858246221
INR 25 to 35 lacs,Nov-2023,0.6730938276230122
INR 25 to 35 lacs,Oct-2023,0.6673667116740323
INR 35 to 45 lacs,Dec-2023,0.5321817563121941
INR 35 to 45 lacs,Feb-2024,0.534037584057757
INR 35 to 45 lacs,Jan-2024,0.5013457124306314
INR 35 to 45 lacs,Mar-2024,0.4890872269286538
INR 35 to 45 lacs,Nov-2023,0.5248491725697447
INR 35 to 45 lacs,Oct-2023,0.49395616899822103
Above INR 45 lacs,Dec-2023,0.41643772852877214
Above INR 45 lacs,Feb-2024,0.39824608642366266
Above INR 45 lacs,Jan-2024,0.3849975663548911
Above INR 45 lacs,Mar-2024,0.3957402159564474
Above INR 45 lacs,Nov-2023,0.3987719111162522
Above INR 45 lacs,Oct-2023,0.38141835665095086
