Variance Bucket,Revenue Band,Month,Store Count
Var < 2%,INR 15 to 25 lacs,Dec-2023,41
Var < 2%,INR 15 to 25 lacs,Feb-2024,45
Var < 2%,INR 15 to 25 lacs,Jan-2024,45
Var < 2%,INR 15 to 25 lacs,Mar-2024,48
Var < 2%,INR 15 to 25 lacs,Nov-2023,56
Var < 2%,INR 15 to 25 lacs,Oct-2023,43
Var < 2%,INR 25 to 35 lacs,Dec-2023,147
Var < 2%,INR 25 to 35 lacs,Feb-2024,139
Var < 2%,INR 25 to 35 lacs,Jan-2024,138
Var < 2%,INR 25 to 35 lacs,Mar-2024,134
Var < 2%,INR 25 to 35 lacs,Nov-2023,141
Var < 2%,INR 25 to 35 lacs,Oct-2023,126
Var < 2%,INR 35 to 45 lacs,Dec-2023,117
Var < 2%,INR 35 to 45 lacs,Feb-2024,120
Var < 2%,INR 35 to 45 lacs,Jan-2024,107
Var < 2%,INR 35 to 45 lacs,Mar-2024,112
Var < 2%,INR 35 to 45 lacs,Nov-2023,97
Var < 2%,INR 35 to 45 lacs,Oct-2023,132
Var < 2%,Above INR 45 lacs,Dec-2023,43
Var < 2%,Above INR 45 lacs,Feb-2024,44
Var < 2%,Above INR 45 lacs,Jan-2024,58
Var < 2%,Above INR 45 lacs,Mar-2024,52
Var < 2%,Above INR 45 lacs,Nov-2023,53
Var < 2%,Above INR 45 lacs,Oct-2023,48
